procedure_code,procedure_name,department,category,standard_cost
CPT10354,Surgery - Major Procedure 354,Oncology,Surgery - Major,7153.22
CPT10355,Surgery - Major Procedure 355,General Surgery,Surgery - Major,12595.01
CPT10356,Consultation Procedure 356,Oncology,Consultation,85.71
CPT10357,Surgery - Major Procedure 357,Cardiology,Surgery - Major,20672.44
CPT10358,Emergency Visit Procedure 358,Pediatrics,Emergency Visit,2847.93
CPT10359,Physical Therapy Procedure 359,Pediatrics,Physical Therapy,141.9
CPT10360,Lab Test Procedure 360,Obstetrics,Lab Test,188.79
CPT10361,Lab Test Procedure 361,Emergency Medicine,Lab Test,276.72
CPT10362,Surgery - Minor Procedure 362,General Surgery,Surgery - Minor,3446.25
CPT10363,Surgery - Minor Procedure 363,Obstetrics,Surgery - Minor,5279.52
CPT10364,Surgery - Minor Procedure 364,General Surgery,Surgery - Minor,5303.39
CPT10365,Emergency Visit Procedure 365,General Surgery,Emergency Visit,232.71
CPT10366,Emergency Visit Procedure 366,Cardiology,Emergency Visit,2767.55
CPT10367,Chemotherapy Session Procedure 367,Obstetrics,Chemotherapy Session,4793.72
CPT10368,Emergency Visit Procedure 368,General Surgery,Emergency Visit,3463.17
CPT10369,Emergency Visit Procedure 369,Neurology,Emergency Visit,1794.67
CPT10370,Emergency Visit Procedure 370,Cardiology,Emergency Visit,3456.76
CPT10371,Emergency Visit Procedure 371,Pediatrics,Emergency Visit,2690.08
CPT10372,Physical Therapy Procedure 372,Cardiology,Physical Therapy,119.67
CPT10373,Emergency Visit Procedure 373,Orthopedics,Emergency Visit,1976.7
CPT10374,Chemotherapy Session Procedure 374,Orthopedics,Chemotherapy Session,8938.66
CPT10375,Surgery - Major Procedure 375,General Surgery,Surgery - Major,39301.22
CPT10376,Surgery - Major Procedure 376,Obstetrics,Surgery - Major,8894.68
CPT10377,Consultation Procedure 377,Pediatrics,Consultation,269.25
CPT10378,Physical Therapy Procedure 378,Cardiology,Physical Therapy,142.94
CPT10379,Surgery - Minor Procedure 379,Obstetrics,Surgery - Minor,836.31
CPT10380,Diagnostic Imaging Procedure 380,Cardiology,Diagnostic Imaging,1098.18
CPT10381,Emergency Visit Procedure 381,Cardiology,Emergency Visit,974.69
CPT10382,Consultation Procedure 382,Neurology,Consultation,300.19
CPT10383,Diagnostic Imaging Procedure 383,Orthopedics,Diagnostic Imaging,942.73
CPT10384,Chemotherapy Session Procedure 384,Cardiology,Chemotherapy Session,7654.68
CPT10385,Surgery - Major Procedure 385,Neurology,Surgery - Major,5023.92
CPT10386,Consultation Procedure 386,Orthopedics,Consultation,159.65
CPT10387,Chemotherapy Session Procedure 387,Neurology,Chemotherapy Session,3081.09
CPT10388,Consultation Procedure 388,Obstetrics,Consultation,139.23
CPT10389,Lab Test Procedure 389,Emergency Medicine,Lab Test,45.91
CPT10390,Chemotherapy Session Procedure 390,Orthopedics,Chemotherapy Session,2659.57
CPT10391,Surgery - Major Procedure 391,Internal Medicine,Surgery - Major,27221.98
CPT10392,Surgery - Major Procedure 392,Emergency Medicine,Surgery - Major,16654.44
CPT10393,Physical Therapy Procedure 393,Obstetrics,Physical Therapy,160.17
CPT10394,Consultation Procedure 394,Cardiology,Consultation,178.64
CPT10395,Emergency Visit Procedure 395,Pediatrics,Emergency Visit,3090.49
CPT10396,Surgery - Major Procedure 396,Obstetrics,Surgery - Major,41211.96
CPT10397,Consultation Procedure 397,Neurology,Consultation,210.56
CPT10398,Physical Therapy Procedure 398,Neurology,Physical Therapy,139.24
CPT10399,Emergency Visit Procedure 399,Neurology,Emergency Visit,552.44
CPT10400,Chemotherapy Session Procedure 400,Neurology,Chemotherapy Session,8636.54
CPT10401,Physical Therapy Procedure 401,Obstetrics,Physical Therapy,74.45
CPT10402,Lab Test Procedure 402,Pediatrics,Lab Test,133.11
CPT10403,Emergency Visit Procedure 403,Oncology,Emergency Visit,1183.62
CPT10404,Consultation Procedure 404,Neurology,Consultation,163.11
CPT10405,Surgery - Major Procedure 405,Oncology,Surgery - Major,11571.47
CPT10406,Surgery - Major Procedure 406,Pediatrics,Surgery - Major,36326.46
CPT10407,Consultation Procedure 407,Pediatrics,Consultation,108.69
CPT10408,Consultation Procedure 408,Emergency Medicine,Consultation,249.6
CPT10409,Consultation Procedure 409,Orthopedics,Consultation,109.06
CPT10410,Surgery - Minor Procedure 410,Internal Medicine,Surgery - Minor,1166.79
CPT10411,Emergency Visit Procedure 411,General Surgery,Emergency Visit,3201.12
CPT10412,Surgery - Major Procedure 412,Internal Medicine,Surgery - Major,12605.15
CPT10413,Emergency Visit Procedure 413,Obstetrics,Emergency Visit,2910.13
CPT10414,Physical Therapy Procedure 414,General Surgery,Physical Therapy,190.71
CPT10415,Surgery - Major Procedure 415,Pediatrics,Surgery - Major,8114.26
CPT10416,Surgery - Minor Procedure 416,Internal Medicine,Surgery - Minor,5768.33
CPT10417,Consultation Procedure 417,Radiology,Consultation,142.91
CPT10418,Lab Test Procedure 418,Orthopedics,Lab Test,346.67
CPT10419,Consultation Procedure 419,Internal Medicine,Consultation,121.42
CPT10420,Chemotherapy Session Procedure 420,Orthopedics,Chemotherapy Session,7860.75
CPT10421,Consultation Procedure 421,Oncology,Consultation,78.64
CPT10422,Surgery - Minor Procedure 422,Obstetrics,Surgery - Minor,3461.26
CPT10423,Emergency Visit Procedure 423,Orthopedics,Emergency Visit,2739.16
CPT10424,Surgery - Major Procedure 424,Oncology,Surgery - Major,42391.82
CPT10425,Consultation Procedure 425,Neurology,Consultation,325.03
CPT10426,Surgery - Major Procedure 426,Oncology,Surgery - Major,37784.99
CPT10427,Diagnostic Imaging Procedure 427,Obstetrics,Diagnostic Imaging,2237.25
CPT10428,Physical Therapy Procedure 428,Emergency Medicine,Physical Therapy,107.81
CPT10429,Emergency Visit Procedure 429,Neurology,Emergency Visit,1137.81
CPT10430,Surgery - Major Procedure 430,Pediatrics,Surgery - Major,16558.74
CPT10431,Lab Test Procedure 431,Cardiology,Lab Test,163.28
CPT10432,Physical Therapy Procedure 432,Oncology,Physical Therapy,154.4
CPT10433,Chemotherapy Session Procedure 433,Oncology,Chemotherapy Session,5447.53
CPT10434,Chemotherapy Session Procedure 434,Orthopedics,Chemotherapy Session,2447.06
CPT10435,Lab Test Procedure 435,Pediatrics,Lab Test,282.67
CPT10436,Consultation Procedure 436,Internal Medicine,Consultation,121.08
CPT10437,Physical Therapy Procedure 437,Radiology,Physical Therapy,134.47
CPT10438,Surgery - Major Procedure 438,General Surgery,Surgery - Major,25133.81
CPT10439,Physical Therapy Procedure 439,Oncology,Physical Therapy,251.15
CPT10440,Consultation Procedure 440,Internal Medicine,Consultation,278.35
CPT10441,Surgery - Minor Procedure 441,Radiology,Surgery - Minor,4156.78
CPT10442,Emergency Visit Procedure 442,General Surgery,Emergency Visit,714.05
CPT10443,Lab Test Procedure 443,Cardiology,Lab Test,227.88
CPT10444,Consultation Procedure 444,Orthopedics,Consultation,99.05
CPT10445,Surgery - Minor Procedure 445,Internal Medicine,Surgery - Minor,2762.29
CPT10446,Physical Therapy Procedure 446,Orthopedics,Physical Therapy,159.24
CPT10447,Physical Therapy Procedure 447,General Surgery,Physical Therapy,69.55
CPT10448,Consultation Procedure 448,Emergency Medicine,Consultation,150.35
CPT10449,Surgery - Major Procedure 449,Oncology,Surgery - Major,43225.98
CPT10450,Physical Therapy Procedure 450,Neurology,Physical Therapy,288.87
CPT10451,Surgery - Major Procedure 451,Radiology,Surgery - Major,19093.08
CPT10452,Surgery - Major Procedure 452,Pediatrics,Surgery - Major,6724.0
CPT10453,Emergency Visit Procedure 453,Obstetrics,Emergency Visit,791.01
CPT10454,Surgery - Major Procedure 454,Oncology,Surgery - Major,20688.71
CPT10455,Diagnostic Imaging Procedure 455,Neurology,Diagnostic Imaging,2377.28
CPT10456,Emergency Visit Procedure 456,Obstetrics,Emergency Visit,665.96
CPT10457,Surgery - Minor Procedure 457,Internal Medicine,Surgery - Minor,4770.28
CPT10458,Surgery - Minor Procedure 458,Obstetrics,Surgery - Minor,1365.15
CPT10459,Physical Therapy Procedure 459,Cardiology,Physical Therapy,295.5
CPT10460,Physical Therapy Procedure 460,Oncology,Physical Therapy,151.59
CPT10461,Surgery - Major Procedure 461,Orthopedics,Surgery - Major,36009.38
CPT10462,Emergency Visit Procedure 462,Emergency Medicine,Emergency Visit,1330.55
CPT10463,Emergency Visit Procedure 463,Pediatrics,Emergency Visit,2271.31
CPT10464,Diagnostic Imaging Procedure 464,Orthopedics,Diagnostic Imaging,601.24
CPT10465,Surgery - Major Procedure 465,Neurology,Surgery - Major,10840.84
CPT10466,Diagnostic Imaging Procedure 466,Oncology,Diagnostic Imaging,2354.45
CPT10467,Chemotherapy Session Procedure 467,Emergency Medicine,Chemotherapy Session,8357.65
CPT10468,Surgery - Major Procedure 468,Obstetrics,Surgery - Major,40498.76
CPT10469,Lab Test Procedure 469,Oncology,Lab Test,257.66
CPT10470,Lab Test Procedure 470,Obstetrics,Lab Test,327.14
CPT10471,Consultation Procedure 471,Internal Medicine,Consultation,93.99
CPT10472,Surgery - Major Procedure 472,Cardiology,Surgery - Major,18391.56
CPT10473,Emergency Visit Procedure 473,General Surgery,Emergency Visit,1235.22
CPT10474,Physical Therapy Procedure 474,Oncology,Physical Therapy,212.55
CPT10475,Surgery - Minor Procedure 475,Neurology,Surgery - Minor,2650.98
CPT10476,Consultation Procedure 476,Obstetrics,Consultation,115.84
CPT10477,Physical Therapy Procedure 477,Orthopedics,Physical Therapy,203.15
CPT10478,Lab Test Procedure 478,Internal Medicine,Lab Test,329.47
CPT10479,Surgery - Major Procedure 479,Neurology,Surgery - Major,20284.94
CPT10480,Consultation Procedure 480,Pediatrics,Consultation,111.37
CPT10481,Surgery - Major Procedure 481,General Surgery,Surgery - Major,12867.53
CPT10482,Lab Test Procedure 482,Internal Medicine,Lab Test,110.24
CPT10483,Consultation Procedure 483,Cardiology,Consultation,157.47
CPT10484,Lab Test Procedure 484,General Surgery,Lab Test,264.26
CPT10485,Diagnostic Imaging Procedure 485,Obstetrics,Diagnostic Imaging,1562.22
CPT10486,Lab Test Procedure 486,Neurology,Lab Test,284.51
CPT10487,Emergency Visit Procedure 487,Pediatrics,Emergency Visit,1396.26
CPT10488,Emergency Visit Procedure 488,Radiology,Emergency Visit,2919.19
CPT10489,Surgery - Major Procedure 489,Cardiology,Surgery - Major,13163.51
CPT10490,Surgery - Minor Procedure 490,Emergency Medicine,Surgery - Minor,3239.01
CPT10491,Lab Test Procedure 491,Obstetrics,Lab Test,324.36
CPT10492,Physical Therapy Procedure 492,Radiology,Physical Therapy,103.24
CPT10493,Emergency Visit Procedure 493,Oncology,Emergency Visit,562.55
CPT10494,Chemotherapy Session Procedure 494,Pediatrics,Chemotherapy Session,8092.73
CPT10495,Surgery - Minor Procedure 495,Orthopedics,Surgery - Minor,2583.23
CPT10496,Diagnostic Imaging Procedure 496,Emergency Medicine,Diagnostic Imaging,1757.09
CPT10497,Consultation Procedure 497,Neurology,Consultation,81.97
CPT10498,Consultation Procedure 498,Pediatrics,Consultation,264.76
CPT10499,Emergency Visit Procedure 499,General Surgery,Emergency Visit,1243.13
CPT10500,Surgery - Minor Procedure 500,Internal Medicine,Surgery - Minor,1089.85
CPT10501,Emergency Visit Procedure 501,General Surgery,Emergency Visit,2212.38
CPT10502,Consultation Procedure 502,General Surgery,Consultation,141.22
CPT10503,Chemotherapy Session Procedure 503,Oncology,Chemotherapy Session,4217.1
CPT10504,Lab Test Procedure 504,Cardiology,Lab Test,50.62
CPT10505,Surgery - Minor Procedure 505,Orthopedics,Surgery - Minor,1565.25
CPT10506,Surgery - Major Procedure 506,Emergency Medicine,Surgery - Major,16919.09
CPT10507,Lab Test Procedure 507,Cardiology,Lab Test,54.11
CPT10508,Lab Test Procedure 508,Pediatrics,Lab Test,366.11
CPT10509,Lab Test Procedure 509,General Surgery,Lab Test,22.3
CPT10510,Surgery - Major Procedure 510,Oncology,Surgery - Major,24354.41
CPT10511,Chemotherapy Session Procedure 511,Pediatrics,Chemotherapy Session,2161.33
CPT10512,Diagnostic Imaging Procedure 512,Internal Medicine,Diagnostic Imaging,873.05
CPT10513,Chemotherapy Session Procedure 513,Orthopedics,Chemotherapy Session,8423.26
CPT10514,Chemotherapy Session Procedure 514,Emergency Medicine,Chemotherapy Session,2461.22
CPT10515,Chemotherapy Session Procedure 515,Internal Medicine,Chemotherapy Session,8733.49
CPT10516,Physical Therapy Procedure 516,Oncology,Physical Therapy,109.39
CPT10517,Emergency Visit Procedure 517,Orthopedics,Emergency Visit,2647.17
CPT10518,Consultation Procedure 518,Pediatrics,Consultation,225.34
CPT10519,Emergency Visit Procedure 519,General Surgery,Emergency Visit,3118.78
CPT10520,Surgery - Minor Procedure 520,General Surgery,Surgery - Minor,3680.76
CPT10521,Chemotherapy Session Procedure 521,Obstetrics,Chemotherapy Session,5369.56
CPT10522,Diagnostic Imaging Procedure 522,General Surgery,Diagnostic Imaging,609.33
CPT10523,Surgery - Minor Procedure 523,Radiology,Surgery - Minor,1664.39
CPT10524,Emergency Visit Procedure 524,General Surgery,Emergency Visit,3224.41
CPT10525,Consultation Procedure 525,Radiology,Consultation,165.16
CPT10526,Surgery - Major Procedure 526,Neurology,Surgery - Major,19883.29
CPT10527,Emergency Visit Procedure 527,Radiology,Emergency Visit,2707.42
CPT10528,Lab Test Procedure 528,Orthopedics,Lab Test,148.75
CPT10529,Emergency Visit Procedure 529,Internal Medicine,Emergency Visit,3341.81
CPT10530,Lab Test Procedure 530,Orthopedics,Lab Test,300.41
CPT10531,Surgery - Major Procedure 531,Internal Medicine,Surgery - Major,28897.17
CPT10532,Emergency Visit Procedure 532,Obstetrics,Emergency Visit,3106.95
CPT10533,Diagnostic Imaging Procedure 533,Neurology,Diagnostic Imaging,266.57
CPT10534,Diagnostic Imaging Procedure 534,Internal Medicine,Diagnostic Imaging,754.1
CPT10535,Surgery - Minor Procedure 535,Internal Medicine,Surgery - Minor,3218.19
CPT10536,Surgery - Major Procedure 536,Oncology,Surgery - Major,14079.14
CPT10537,Chemotherapy Session Procedure 537,Cardiology,Chemotherapy Session,7002.46
CPT10538,Diagnostic Imaging Procedure 538,Cardiology,Diagnostic Imaging,2310.14
CPT10539,Emergency Visit Procedure 539,Oncology,Emergency Visit,1598.44
CPT10540,Surgery - Major Procedure 540,General Surgery,Surgery - Major,18685.3
CPT10541,Consultation Procedure 541,Oncology,Consultation,339.43
CPT10542,Lab Test Procedure 542,Internal Medicine,Lab Test,189.04
CPT10543,Emergency Visit Procedure 543,Internal Medicine,Emergency Visit,1813.86
CPT10544,Lab Test Procedure 544,Oncology,Lab Test,153.63
CPT10545,Lab Test Procedure 545,Oncology,Lab Test,365.63
CPT10546,Chemotherapy Session Procedure 546,General Surgery,Chemotherapy Session,5637.85
CPT10547,Surgery - Major Procedure 547,Orthopedics,Surgery - Major,35486.98
CPT10548,Surgery - Major Procedure 548,Neurology,Surgery - Major,37472.27
CPT10549,Surgery - Minor Procedure 549,Pediatrics,Surgery - Minor,2577.62
CPT10550,Lab Test Procedure 550,Internal Medicine,Lab Test,184.8
CPT10551,Surgery - Minor Procedure 551,Neurology,Surgery - Minor,5212.05
CPT10552,Chemotherapy Session Procedure 552,Oncology,Chemotherapy Session,4033.39
CPT10553,Lab Test Procedure 553,General Surgery,Lab Test,321.7
CPT10554,Surgery - Minor Procedure 554,Radiology,Surgery - Minor,5693.16
CPT10555,Surgery - Minor Procedure 555,General Surgery,Surgery - Minor,4040.69
CPT10556,Consultation Procedure 556,Emergency Medicine,Consultation,278.95
CPT10557,Surgery - Minor Procedure 557,Emergency Medicine,Surgery - Minor,4986.51
CPT10558,Surgery - Major Procedure 558,Neurology,Surgery - Major,38801.59
CPT10559,Surgery - Minor Procedure 559,Cardiology,Surgery - Minor,2854.28
CPT10560,Lab Test Procedure 560,Emergency Medicine,Lab Test,39.48
CPT10561,Surgery - Minor Procedure 561,Emergency Medicine,Surgery - Minor,2889.76
CPT10562,Diagnostic Imaging Procedure 562,Orthopedics,Diagnostic Imaging,1733.33
CPT10563,Physical Therapy Procedure 563,Radiology,Physical Therapy,168.08
CPT10564,Lab Test Procedure 564,Orthopedics,Lab Test,304.61
CPT10565,Diagnostic Imaging Procedure 565,Radiology,Diagnostic Imaging,988.91
CPT10566,Chemotherapy Session Procedure 566,Obstetrics,Chemotherapy Session,6151.0
CPT10567,Lab Test Procedure 567,Pediatrics,Lab Test,90.84
CPT10568,Surgery - Major Procedure 568,Internal Medicine,Surgery - Major,34974.78
CPT10569,Physical Therapy Procedure 569,Emergency Medicine,Physical Therapy,190.97
CPT10570,Physical Therapy Procedure 570,Internal Medicine,Physical Therapy,108.98
CPT10571,Surgery - Major Procedure 571,Emergency Medicine,Surgery - Major,16676.45
CPT10572,Physical Therapy Procedure 572,Orthopedics,Physical Therapy,239.67
CPT10573,Surgery - Major Procedure 573,Pediatrics,Surgery - Major,24304.05
CPT10574,Diagnostic Imaging Procedure 574,Orthopedics,Diagnostic Imaging,657.67
CPT10575,Chemotherapy Session Procedure 575,Orthopedics,Chemotherapy Session,8744.72
CPT10576,Consultation Procedure 576,Radiology,Consultation,271.66
CPT10577,Lab Test Procedure 577,Cardiology,Lab Test,383.71
CPT10578,Surgery - Major Procedure 578,General Surgery,Surgery - Major,22084.2
CPT10579,Lab Test Procedure 579,Neurology,Lab Test,200.54
CPT10580,Chemotherapy Session Procedure 580,Internal Medicine,Chemotherapy Session,8204.05
CPT10581,Diagnostic Imaging Procedure 581,Obstetrics,Diagnostic Imaging,1383.87
CPT10582,Consultation Procedure 582,Emergency Medicine,Consultation,269.5
CPT10583,Chemotherapy Session Procedure 583,Orthopedics,Chemotherapy Session,3166.95
CPT10584,Diagnostic Imaging Procedure 584,Cardiology,Diagnostic Imaging,1199.81
CPT10585,Physical Therapy Procedure 585,Orthopedics,Physical Therapy,89.63
CPT10586,Lab Test Procedure 586,Pediatrics,Lab Test,98.27
CPT10587,Emergency Visit Procedure 587,Radiology,Emergency Visit,203.11
CPT10588,Consultation Procedure 588,Obstetrics,Consultation,85.8
CPT10589,Physical Therapy Procedure 589,General Surgery,Physical Therapy,294.55
CPT10590,Chemotherapy Session Procedure 590,Pediatrics,Chemotherapy Session,3090.36
CPT10591,Consultation Procedure 591,Oncology,Consultation,257.41
CPT10592,Physical Therapy Procedure 592,Obstetrics,Physical Therapy,261.38
CPT10593,Diagnostic Imaging Procedure 593,Orthopedics,Diagnostic Imaging,1444.05
CPT10594,Surgery - Major Procedure 594,Pediatrics,Surgery - Major,11125.78
CPT10595,Lab Test Procedure 595,General Surgery,Lab Test,296.68
CPT10596,Surgery - Minor Procedure 596,Cardiology,Surgery - Minor,3921.31
CPT10597,Surgery - Minor Procedure 597,Cardiology,Surgery - Minor,4602.5
CPT10598,Diagnostic Imaging Procedure 598,Internal Medicine,Diagnostic Imaging,1958.9
CPT10599,Chemotherapy Session Procedure 599,General Surgery,Chemotherapy Session,8808.2
CPT10600,Lab Test Procedure 600,Cardiology,Lab Test,237.95
CPT10601,Chemotherapy Session Procedure 601,Pediatrics,Chemotherapy Session,3864.8
CPT10602,Lab Test Procedure 602,Internal Medicine,Lab Test,266.42
CPT10603,Diagnostic Imaging Procedure 603,Cardiology,Diagnostic Imaging,310.84
CPT10604,Lab Test Procedure 604,Obstetrics,Lab Test,361.01
CPT10605,Surgery - Major Procedure 605,Radiology,Surgery - Major,9775.24
CPT10606,Chemotherapy Session Procedure 606,Oncology,Chemotherapy Session,3757.17
CPT10607,Diagnostic Imaging Procedure 607,General Surgery,Diagnostic Imaging,2067.0
CPT10608,Surgery - Major Procedure 608,Pediatrics,Surgery - Major,28892.5
CPT10609,Lab Test Procedure 609,Emergency Medicine,Lab Test,169.58
CPT10610,Diagnostic Imaging Procedure 610,Orthopedics,Diagnostic Imaging,1262.57
CPT10611,Lab Test Procedure 611,Pediatrics,Lab Test,344.73
CPT10612,Chemotherapy Session Procedure 612,Cardiology,Chemotherapy Session,3852.03
CPT10613,Diagnostic Imaging Procedure 613,Pediatrics,Diagnostic Imaging,2193.68
CPT10614,Lab Test Procedure 614,Emergency Medicine,Lab Test,53.49
CPT10615,Chemotherapy Session Procedure 615,Orthopedics,Chemotherapy Session,7259.03
CPT10616,Surgery - Major Procedure 616,Internal Medicine,Surgery - Major,38901.91
CPT10617,Emergency Visit Procedure 617,Cardiology,Emergency Visit,800.0
CPT10618,Surgery - Major Procedure 618,Neurology,Surgery - Major,22213.86
CPT10619,Lab Test Procedure 619,Cardiology,Lab Test,82.89
CPT10620,Diagnostic Imaging Procedure 620,Oncology,Diagnostic Imaging,1810.52
CPT10621,Surgery - Minor Procedure 621,Neurology,Surgery - Minor,3583.81
CPT10622,Surgery - Major Procedure 622,Oncology,Surgery - Major,30412.93
CPT10623,Surgery - Major Procedure 623,Emergency Medicine,Surgery - Major,12859.48
CPT10624,Chemotherapy Session Procedure 624,General Surgery,Chemotherapy Session,2851.62
CPT10625,Physical Therapy Procedure 625,Orthopedics,Physical Therapy,69.96
CPT10626,Surgery - Minor Procedure 626,Radiology,Surgery - Minor,2474.75
CPT10627,Lab Test Procedure 627,Internal Medicine,Lab Test,232.7
CPT10628,Emergency Visit Procedure 628,Radiology,Emergency Visit,3031.19
CPT10629,Diagnostic Imaging Procedure 629,Obstetrics,Diagnostic Imaging,1717.28
CPT10630,Physical Therapy Procedure 630,Obstetrics,Physical Therapy,164.5
CPT10631,Lab Test Procedure 631,Emergency Medicine,Lab Test,382.19
CPT10632,Consultation Procedure 632,General Surgery,Consultation,272.79
CPT10633,Emergency Visit Procedure 633,Obstetrics,Emergency Visit,3269.55
CPT10634,Surgery - Major Procedure 634,Cardiology,Surgery - Major,26103.52
CPT10635,Consultation Procedure 635,Pediatrics,Consultation,146.2
CPT10636,Surgery - Major Procedure 636,Oncology,Surgery - Major,7113.07
CPT10637,Surgery - Major Procedure 637,Obstetrics,Surgery - Major,34043.39
CPT10638,Consultation Procedure 638,Emergency Medicine,Consultation,108.36
CPT10639,Emergency Visit Procedure 639,Oncology,Emergency Visit,1199.16
CPT10640,Chemotherapy Session Procedure 640,Cardiology,Chemotherapy Session,5353.27
CPT10641,Consultation Procedure 641,General Surgery,Consultation,230.21
CPT10642,Lab Test Procedure 642,Orthopedics,Lab Test,248.22
CPT10643,Physical Therapy Procedure 643,Radiology,Physical Therapy,99.9
CPT10644,Physical Therapy Procedure 644,Cardiology,Physical Therapy,151.14
CPT10645,Consultation Procedure 645,Internal Medicine,Consultation,244.73
CPT10646,Lab Test Procedure 646,Neurology,Lab Test,388.53
CPT10647,Chemotherapy Session Procedure 647,Emergency Medicine,Chemotherapy Session,6875.52
CPT10648,Physical Therapy Procedure 648,Radiology,Physical Therapy,281.42
CPT10649,Lab Test Procedure 649,Internal Medicine,Lab Test,309.64
CPT10650,Chemotherapy Session Procedure 650,Orthopedics,Chemotherapy Session,5815.39
CPT10651,Lab Test Procedure 651,Internal Medicine,Lab Test,92.97
CPT10652,Surgery - Major Procedure 652,General Surgery,Surgery - Major,31667.43
CPT10653,Physical Therapy Procedure 653,Neurology,Physical Therapy,209.61
CPT10654,Chemotherapy Session Procedure 654,Oncology,Chemotherapy Session,5899.26
CPT10655,Physical Therapy Procedure 655,Radiology,Physical Therapy,177.55
CPT10656,Surgery - Major Procedure 656,Neurology,Surgery - Major,26146.26
CPT10657,Consultation Procedure 657,Pediatrics,Consultation,166.97
CPT10658,Surgery - Major Procedure 658,Cardiology,Surgery - Major,25772.51
CPT10659,Physical Therapy Procedure 659,Pediatrics,Physical Therapy,107.41
CPT10660,Physical Therapy Procedure 660,Cardiology,Physical Therapy,253.24
CPT10661,Emergency Visit Procedure 661,General Surgery,Emergency Visit,813.06
CPT10662,Chemotherapy Session Procedure 662,Neurology,Chemotherapy Session,1862.74
CPT10663,Consultation Procedure 663,Orthopedics,Consultation,194.97
CPT10664,Surgery - Major Procedure 664,Obstetrics,Surgery - Major,31332.3
CPT10665,Chemotherapy Session Procedure 665,Internal Medicine,Chemotherapy Session,4614.19
CPT10666,Diagnostic Imaging Procedure 666,Obstetrics,Diagnostic Imaging,800.37
CPT10667,Chemotherapy Session Procedure 667,Neurology,Chemotherapy Session,5553.74
CPT10668,Diagnostic Imaging Procedure 668,Pediatrics,Diagnostic Imaging,965.46
CPT10669,Consultation Procedure 669,Obstetrics,Consultation,331.54
CPT10670,Surgery - Major Procedure 670,Emergency Medicine,Surgery - Major,41905.81
CPT10671,Surgery - Major Procedure 671,Obstetrics,Surgery - Major,25094.87
CPT10672,Lab Test Procedure 672,Cardiology,Lab Test,144.6
CPT10673,Physical Therapy Procedure 673,Emergency Medicine,Physical Therapy,236.91
CPT10674,Surgery - Minor Procedure 674,Radiology,Surgery - Minor,990.91
CPT10675,Emergency Visit Procedure 675,Obstetrics,Emergency Visit,1766.74
CPT10676,Chemotherapy Session Procedure 676,Emergency Medicine,Chemotherapy Session,3823.32
CPT10677,Consultation Procedure 677,Neurology,Consultation,328.15
CPT10678,Surgery - Minor Procedure 678,Internal Medicine,Surgery - Minor,862.42
CPT10679,Chemotherapy Session Procedure 679,Radiology,Chemotherapy Session,5511.96
CPT10680,Surgery - Minor Procedure 680,Orthopedics,Surgery - Minor,4651.45
CPT10681,Consultation Procedure 681,Orthopedics,Consultation,208.38
CPT10682,Surgery - Major Procedure 682,General Surgery,Surgery - Major,8416.12
CPT10683,Consultation Procedure 683,Obstetrics,Consultation,342.43
CPT10684,Chemotherapy Session Procedure 684,Internal Medicine,Chemotherapy Session,5240.48
CPT10685,Surgery - Minor Procedure 685,Oncology,Surgery - Minor,3993.77
CPT10686,Physical Therapy Procedure 686,Emergency Medicine,Physical Therapy,116.79
CPT10687,Emergency Visit Procedure 687,Radiology,Emergency Visit,1795.54
CPT10688,Emergency Visit Procedure 688,Neurology,Emergency Visit,1616.19
CPT10689,Physical Therapy Procedure 689,Obstetrics,Physical Therapy,77.98
CPT10690,Physical Therapy Procedure 690,Neurology,Physical Therapy,85.48
CPT10691,Surgery - Major Procedure 691,Oncology,Surgery - Major,38498.9
CPT10692,Chemotherapy Session Procedure 692,General Surgery,Chemotherapy Session,3070.6
CPT10693,Diagnostic Imaging Procedure 693,Oncology,Diagnostic Imaging,608.15
CPT10694,Consultation Procedure 694,Cardiology,Consultation,213.85
CPT10695,Emergency Visit Procedure 695,Pediatrics,Emergency Visit,2736.87
CPT10696,Physical Therapy Procedure 696,Radiology,Physical Therapy,74.87
CPT10697,Consultation Procedure 697,Pediatrics,Consultation,233.62
CPT10698,Emergency Visit Procedure 698,Oncology,Emergency Visit,593.39
CPT10699,Physical Therapy Procedure 699,General Surgery,Physical Therapy,68.75
CPT10700,Chemotherapy Session Procedure 700,General Surgery,Chemotherapy Session,1611.4
CPT10701,Emergency Visit Procedure 701,Orthopedics,Emergency Visit,2952.74
CPT10702,Surgery - Major Procedure 702,Obstetrics,Surgery - Major,9718.9
CPT10703,Diagnostic Imaging Procedure 703,Orthopedics,Diagnostic Imaging,256.11
CPT10704,Diagnostic Imaging Procedure 704,Radiology,Diagnostic Imaging,1179.06
CPT10705,Physical Therapy Procedure 705,Radiology,Physical Therapy,262.56
CPT10706,Emergency Visit Procedure 706,Radiology,Emergency Visit,1065.95
CPT10707,Surgery - Major Procedure 707,Neurology,Surgery - Major,21868.5
CPT10708,Lab Test Procedure 708,Orthopedics,Lab Test,35.17
CPT10709,Consultation Procedure 709,Neurology,Consultation,198.5
CPT10710,Consultation Procedure 710,Pediatrics,Consultation,233.84
CPT10711,Surgery - Minor Procedure 711,Obstetrics,Surgery - Minor,3768.72
CPT10712,Surgery - Major Procedure 712,Oncology,Surgery - Major,18297.07
